X	Y	Z 5 rows is for the switch
0.875	0.37	0.802
0.832	0.188	0.738
0.817	0.098	0.728
0.753	0.062	0.735
0.6537	0.0324	0.7752
0.744	0.086	0.696
0.758	0.13	0.666
0.939	0.338	0.475
0.944	0.383	0.52
0.949	0.338	0.566
0.954	0.293	0.52
0.959	0.338	0.475
0.864	0.604	0.475
0.869	0.738	0.465
0.876	0.86	0.483
0.795	0.892	0.47
0.699	0.893	0.44
0.50	0.895	0.446
0.422	0.89	0.428
0.281	0.896	0.45
0.192	0.896	0.471
0.054	0.878	0.466
0.027	0.804	0.461
0.01	0.80	0.45
0.01	0.78	0.445
0.025	0.35	0.22
0.02	0.305	0.265
0.015	0.35	0.31
0.01	0.395	0.265
0	0.35	0.22
0	0.14	0.22
0.025	0.025	0.22
0.14	0	0.225
0.365	0	0.205
0.475	0.10	0.20
0.475	0.37	0.20
0.475	0.445	0.20
0.40	0.52	0.19
0.325	0.445	0.18
0.40	0.37  	0.17
0.475	0.37	0.17
0.52	0.375	0.15
0.62	0.385	0.10
